article_id,Year,Type,Keywords**,Title,Authors,First Author,Retrieved,Analysis Theme,LLMs Used,Sample Size of Personas/Profiles,Human Participants?, Statistical Methods Used,Effect of Personas on LLM Output,Summary of Results,Prompt Architecture/Methodology,Research Questions,Review Research Question      
A23,2024,Evaluation of persona simulation and implementation,"Personas, role-playing, role-searching strategies",When “A Helpful Assistant” Is Not Really Helpful: Personas in System Prompts Do Not Improve Performances of Large Language Models,"Mingqian Zheng, Jiaxin Pei, Lajanugen Logeswaran, Moontae Lee, David Jurgens",Zheng,Y,quantitative,"FLAN-T5-XXL, Qwen2.5-Instruct, Mistral 7B-Instruct, LLaMa3-Instruct",162,N,"Mixed-effects regression models to assess persona effects.
Linear regression for model-specific analysis.
Correlation coefficients (Pearson) for role-word frequency, prompt-question similarity, and perplexity.
UMAP dimensionality reduction for embedding visualization.",Negative,"In this study, we present a systematic analysis of 162 personas in 26 categories to explore how prompting with personas affects model performance. Our analysis shows that, compared with the control setting, adding a persona does not necessarily improve an LLM’s performance on objective tasks. On the contrary, it might actually hurt the models’ overall performance in some situations.","Speaker-Specific: ""You are a/an {role}.""
Audience-Specific: ""You are talking to a/an {role}.""
Control setting: No role added (baseline).
Paraphrased prompts: ""Imagine you are a/an {role}.""","RQ1: Does adding personas improve model performance on objective tasks?
RQ2: Does the social construct of the persona affect performance?
RQ3: What factors explain the effect of personas on performance?
RQ4: Can we automatically identify the best roles for prompting?",1 and 2
A24,2024,Novel method or framework for persona implementation,"Synthetic data, LLM training on AI-generated datasets,  persona-based document summaries",On The Persona-based Summarization of Domain-Specific Documents,"Ankan Mullick, Sombit Bose, Rounak Saha, Pawan Goyal, Niloy Ganguly 
Ayan Kumar Bhowmick, Prasenjit Dey, Ravi Kokku",Mullick,Y,mixed,"FLAN-T5, Falcon, Llama2-13B, Llama2-70B, Llama2-7B, Pegasus, BART, Longformer, Other",3,"Y, human evaluation","Traditional metrics (Rouge1/Rouge2/RougeL, Meteor, BLEU, BERTScore).
GPT-4-based criteria (Relevance, Coverage, Impurity, Quality, Goodness).
Inter-annotator agreement (0.91 for persona identification, 0.893 for summary quality).",Positive,"We also demonstrate the effectiveness of using AI-based critiquing for the evaluation of the model generated summaries, providing a more automated and scalable solution. Our experiments also reveal the superior quality of persona-based summaries generated by our finetuned model compared to contemporary baselines. Further, AI-based critiquing of the summaries show high inter-annotator agreement with human-based critiquing methods, further confirming the effectiveness of our proposed approach.","Data generation: Prompts specify persona-based summarization (e.g., ""Summarize the medical document from the perspective of a [doctor/patient/normal person]"").
Finetune/inference: Simple instructions (""Summarize the medical document..."").
Critique: Structured prompts evaluating relevance, coverage, and quality for each persona.","1. Can a small domain-specific LLM be efficiently fine-tuned on AI-generated
persona-based summaries to produce high-quality, persona-targeted outputs for
the healthcare domain?
2. Does AI-based critiquing (GPT-4 as evaluator) show sufficiently high
agreement with human-based critiquing to serve as a scalable evaluation
substitute?",1 and 2
A25,2024,Novel method or framework for persona implementation,"Persona In-Context Learning (PICLe) , likelihood ratio criterion, persona elicitation",PICLe: Eliciting Diverse Behaviors from Large Language Models with Persona In-Context Learning,"Hyeong Kyu Choi , Yixuan Li",Choi,Y,quantitative,"Llama-2-7b-chat, Vicuna-7b-v1.5. GPT-J-6b",,N,Likelihood-ratio-based ICL example selection,Positive,"PICLe significantly improves performance compared to baseline methods, especially in a label-aware setting. ","System prompt: ""Answer with Yes or No only"" appended to each input query. Descriptive prompts for baseline method",RQ1: What is the advantage of PICLe and how does it affect model inference RQ2: How do different hyperparameter values affect PICLe performance RQ3: How does the efficiency of PICLe compare with other methods?,persona effects on LLM/agent output
A26,2024,Novel method or framework for persona implementation,"large language models, big five personality theory, model performance",TraitsPrompt: Does Personality Traits Influence the Performance of a Large Language Model?,Zhu et al,Zhu,Y,quantitative,ChatGLM2-6B,,N,N/A,Positive,"Paper introduces 'TraitsPrompt' , a method that integrates psychological suggestions into interactions with LLMs to enhance their outout. Extensive experiments across various tasks have demonstrated that TraitsPrompt exhibits similar outcomes to human responses when faced with comparable domainspecific tasks under different personality cues.","Prompts included phrases like ""I [love] you!"", ""I [admire] you!"" and ""You feel [grief]!"". The placement of these prompts before questions significantly affected model output as shown in Table II.","How personality traits influence LLM output, particularly through the lens of the Rosenthal effect and psychological suggestions",persona effects on LLM/agent output
A27,2024,Evaluation of persona simulation and implementation,"Big five personality model, LLM Persona Simulation",PersonaLLM: Investigating the Ability of Large Language Models to Express Personality Traits,"Hang Jiang, Xiajie Zhang, Xubo Cao, Cynthia Breazeal, Deb Roy, Jad Kabbara",Jiang,Y,mixed,"GPT-3.5, GPT-4",320,"Y, N=39 Human evaluations fo rstory readivility, personalness, and believability;narrative analysis of linguistic patterns","Paired t-tests: To compare mean scores between persona types.
Point-biserial correlations: Linking LIWC features to binary personality traits (e.g., openness).
Spearman’s ρ: Correlating human ratings with BFI scores.
Krippendorff’s α: Assessing inter-annotator agreement for story evaluation.
Effect size analysis (Cohen’s d) for trait differences.",Positive,"Through psycholinguistic analysis, we find that LLM personas from GPT-3.5 and GPT-4 can consistently tailor their BFI answers to match their assigned personalities and write with linguistic features characteristic of those personality traits. Regarding our investigation on linguistic patterns in writing, we found that each personality trait is associated with different representative linguistic behavior of LLM personas in writing. We also find a notable alignment in word usage between humans and LLM personas. On LLMs’ ability to generate stories conditioned on certain personality profiles, we find that the stories are not only linguistically fluent and structurally cohesive, but also convincingly believable.","Prompts to create personas are based on Big Five traits amd a story prompt. Persona creation: Prompts like ""You are a character who is [TRAIT 1], ..., [TRAIT 5].""
Story generation: Prompt: ""Please share a personal story in 800 words. Do not explicitly mention your personality traits.""","RQ1: Can LLMs reflect assigned personality traits in BFI assessments?
RQ2: What linguistic patterns emerge in stories generated by personas?
RQ3: How do humans and LLMs evaluate story quality?
RQ4: Can humans and LLMs accurately perceive Big Five traits from stories?",1 and 2
A28,2025,Evaluation of persona simulation and implementation,"Human-Robot Interaction, Robot Personality, Motivation and Task Performance, Big Five Personality Inventory",Robots with Attitudes: Influence of LLM-Driven Robot Personalities on Motivation and Performance,"Dennis Becker, Kyra Ahrens, Connor Gäde, Erik Strahl, and Stefan Wermter",Becker,Y,mixed,Vicuna,63,"Y, N=63 completed (68 recruited; 5 excluded due to technical issues)","Mann-Whitney U test: To compare differences between agreeable and non-agreeable robots on likability, safety, and other metrics.
Kendall rank correlation: To analyze correlations between participant motivation measures (e.g., interest, perceived competence) and task performance.",Positive,"Overall, this study highlights the utility of LLMs in endowing robots with consistent personalities and provides valuable insights into the influence of personality on human-robot collaboration. It supports the link between agreeableness and likability and suggests that agreeable robots may improve performance in cooperative tasks for some participants.","The Vicuna model was prompted to:

Act as an ""art teacher"" during the Quickdraw task.
Incorporate personality traits (agreeable vs. non-agreeable) into its responses and behavior.
Generate natural, unscripted dialogue that reflected the assigned persona.","RQ1: Can an LLM consistently convey a robot’s personality?
RQ2: Is a robot with an agreeable personality perceived as more likable?
RQ3: Does a robot’s agreeable personality increase intrinsic motivation and task performance?",persona effects on LLM/agent output
A29,2025,Evaluation of persona simulation and implementation,large language model DeepSeek Big Five personality well‐being regional psychological  structure virtual participants,Effectiveness of Large Language Models in Simulating Regional Psychological Structures: An Empirical Examination of Personality and Subjective Well-being,"Ke Luoma, Li Zengyi, Liao Jiangqun, Tong Song, Peng Kaiping",Ke,Y,quantitative,DeepSeek-V3-0324,2943,"Y, N=2943 human participants","Independent-samples t-tests: Compare means between simulated and real data.
One-way ANOVA: Analyze regional differences in personality traits and SWB.
Multiple regression: Examine relationships between Big Five dimensions and SWB.
Principal component analysis (PCA): Compare structural patterns between simulated and human data.",Mixed,"Simulated data broadly align with real data in regional distribution patterns but show deviations in specific traits (Extraversion, Openness, Agreeableness, Neuroticism).
The model captures overall trends in personality and well-being but struggles to replicate cultural-specific nuances.
Regional differences in SWB are partially reproduced, though the Northeast’s SWB is underestimated in simulated data.
LLMs may amplify stereotypes due to training data biases, leading to exaggerated regional profiles. Results show that regional effect sizes for Conscientiousness are mostly near zero, indicating higher consistency on this dimension. In contrast, most other dimensions exhibit moderate to large deviations (Cohen’s d > .5), suggesting room for improvement in modeling fine-grained regional characteristics.","The DeepSeek API was instructed with a prompt in Chinese:

""You are now my assistant for a psychology experiment. Based on the GDP, cultural background, and demographic characteristics of China’s 31 provinces/municipalities, generate information for xx participants by random sampling. For each participant, report: ID (xx–xx), province/municipality of residence, age (18–65), and gender (male or female). Ensure a balanced gender ratio.""","RQ1: Can LLMs simulate regional psychological structures?

The study evaluates whether DeepSeek can reproduce regional differences in personality and well-being.

RQ2: How do personas (virtual participants) affect LLM output?

The comparison between simulated and real data reveals strengths and limitations in simulating cultural and psychological traits.

RQ3: What are the implications of using LLMs for large-scale psychological research?

The paper highlights risks, such as stereotyping and overgeneralization, in simulating regional characteristics.",persona effects on LLM/agent output
A30,2025,Novel method or framework for persona implementation ,Evaluation of Tool-Augmented Agent from the Personalization and Proactivity Perspective (ETAPP),Evaluating Personalized Tool-Augmented LLMs from the Perspectives of Personalization and Proactivity,"Yupu Hao, Pengfei Cao, Zhuoran Jin, Huanzuan Liao, Yubo Chen, Kang Liu, Jun Zhao",Hao,Y,mixed,"GPT-4o, DeepSeek-V3, Qwen2.5-72B-Instruct, Llama-3.1-70B-Instruct, Watt-tool-70B, o1-mini, o1-preview, DeepSeek-R1",16,"Y, human annotatino","Bland-Altman analysis for comparing human and model scores.
Key-point-based evaluation with manual annotations.
Metric scoring (PRC, PSN, PTV) across 800 test cases.
Fine-tuning experiments with LoRA (rank=8, learning rate=1e-4).",Mixed,"Personalization and proactivity are critical for personalized LLMs.
DeepSeek-V3 excels in most metrics but struggles with deep reasoning.
Key-point-based evaluation improves reliability compared to direct judgment.
Fine-tuning enhances performance on in-domain data but not out-of-domain tasks.
Proactive methods (e.g., ReAct) outperform basic tool-calling (FC). Study introduces E-ReAct (Enhanced-ReAct) as a further improvement.","Prompts for tool-invoking methods (FC, ReAct, E-ReAct).
Evaluation criteria with key points (e.g., ""consider user's dietary preferences"").
Prompt templates for interaction history construction and instruction labeling.","RQ1:How to evaluate personalized tool invocation in LLMs?
RQ2: How do personas and proactivity affect LLM performance?
RQ3: What metrics best capture personalized LLM capabilities?",1 and 2
A31,2025,Novel method or framework for persona implementation ,"Steering vectors, LLM prompting, personas, domain alignment",Can Role Vectors Affect LLM Behaviour?,"Daniele Potertì, Andrea Seveso, Fabio Mercorio",Poterti,Y,quantitative,"LLaMa3-Instruct, Llama-3.1.8B-Instruct, Llama-3.2-1B, Llama-3.2-3B, Qwen-7B-Chat, Qwen-1.8B, Gemma-2-2B, Gemma-2-9B",6948,N,"Difference-in-means for role vector extraction from the residual stream
- Benchmark accuracy comparisons on MMLU (2,457 questions across 8 domains)
- 70/30 validation–test split
- Activation addition and directional ablation as experimental interventions
- Statistical significance with p-values (p ≤ 0.05, ≤ 0.01, ≤ 0.001)
- Patch scoping procedure to assess whether the model ""identifies"" as a role, Spearman correlation",Positive,"Role vector activation outperforms persona-based prompting, as noted in prior work by Zheng et al. (2024). Role vectors demonstrably influence LLM behavior. Activation addition improves
in-domain task performance—especially in larger models and deeper layers—and
sometimes produces unexpected cross-domain gains. Directional ablation causes
measurable performance drops, confirming these vectors are causally active.
Internal activation manipulation outperforms traditional persona-based
prompting, which has no effect or a slightly negative impact on objective
tasks.","128 synthetic prompts generated per role. Not traditional prompting. A difference-in-means vector is computed by
contrasting model activations on 128 role-specific prompts (generated by
Claude 3.5 Haiku) vs. 128 generic Alpaca baseline prompts. The resulting role
vector is inserted directly into the model's residual stream via either
activation addition (α·d added to activations at a chosen layer) or
directional ablation (the role direction is projected out entirely). No system
prompt or persona instruction is used during inference.","RQ1: Can we identify specific latent role directions, encoded as role
vectors, within the activation space that, when leveraged, lead to improved
performance on objective tasks?
- RQ2: Do the directions that enhance performance effectively impersonate the
role of interest?
- RQ3: If we eliminate these directions in the models, do their performances
suffer as a consequence?",persona effects on LLM/agent output
A32,2023,LLM-as-a-Judge evaluation,"LLM-as-a-judge, MT-bench, Chatbot Arena, human preference, pairwise comparison, position bias, verbosity bias, self-enhancement bias, chatbot evaluation",Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,"Zheng, Lianmin; Chiang, Wei-Lin; Sheng, Ying; Zhuang, Siyuan; Wu, Zhanghao; Zhuang, Yonghao; Lin, Zi; Li, Zhuohan; Li, Dacheng; Xing, Eric; Zhang, Hao; Gonzalez, Joseph E.; Stoica, Ion",Zheng,Y,quantitative,"GPT-4, GPT-3.5, Claude-v1, Vicuna-13B, Alpaca-13B, LLaMA-13B",80,Y - 58 expert human labelers rated MT-bench questions; 2114 unique crowdsourced voters on Chatbot Arena,"Agreement rate (probability of random same-type judges agreeing), average win rate, position bias consistency percentage, failure rate under verbosity attack",Negative,"Strong LLMs such as GPT-4 can serve as scalable judges of open-ended chatbot responses, achieving over 80% agreement with human expert preferences on MT-bench and matching crowdsourced human agreement on Chatbot Arena. The study identifies three main bias types in LLM judges—position bias, verbosity bias, and self-enhancement bias—and shows that position bias can be mitigated by swapping answer order and using reference-guided grading. GPT-4 single-answer grading is found to be a scalable and explainable alternative to pairwise comparison, correlating well with human preferences across model categories.","Three judge formats tested: (1) pairwise comparison — judge presented with a question and two answers, asked to pick the better one; (2) single answer grading — judge assigns a score on a scale of 1–10 to a single response; (3) reference-guided grading — judge first generates its own answer as a reference before grading. Multi-turn questions presented as full two-turn conversations in a single prompt. Chain-of-thought and few-shot variants also explored.","Can strong LLMs serve as scalable and accurate judges to evaluate other LLMs on open-ended questions? What are the key biases and limitations of LLM-as-a-judge, and how can they be mitigated? How well do LLM judges agree with human preferences on MT-bench and Chatbot Arena?",persona effects on LLM-As-Judge
A33,2024,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, human-centered design, EvaluLLM, evaluation criteria, NLG evaluation, human-in-the-loop, pairwise comparison, trust, customizable metrics",Human-Centered Design Recommendations for LLM-as-a-Judge,"Pan, Q. and Ashktorab, Z. and Desmond, M. and Cooper, M. S. and Johnson, J. and Nair, R. and Geyer, W.",Pan,Y,qualitative,,,"Y - 8 industry professional domain experts (data scientists, software engineers, AI engineers) participated in semi-structured think-aloud interviews using the EvaluLLM prototype","Qualitative thematic analysis (independent coding by two authors, codebook development, theme merging); agreement rate between human and LLM-as-a-judge reported as a UI feature",Mixed,"A user study of the EvaluLLM tool revealed that practitioners face significant challenges in defining effective evaluation criteria for LLM-as-a-judge systems, including difficulty articulating criteria upfront and needing multiple iterative refinements. Participants valued customizable, structured evaluation templates and desired per-criterion performance breakdowns rather than a single aggregate win rate. The study produced human-centered design recommendations emphasizing efficient criteria iteration, structured templates, interactive refinement, and transparency mechanisms to build trust in LLM-based evaluations.","EvaluLLM uses a pairwise comparison approach: users define custom evaluation criteria in natural language, a selected LLM judge compares pairs of model outputs against those criteria, and results are surfaced with rationales. A blind review process hides model identities during human spot-checks. No fixed system prompt format specified; freeform natural language criteria input is the design focus.",What challenges do practitioners encounter when using LLM-as-a-judge tools for model evaluation? What design recommendations can support human-AI collaboration in LLM evaluation workflows to ensure criteria alignment with human intent and trustworthy results?,persona effects on LLM-As-Judge
A34,2024,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, alignment tasks, position bias, length bias, flipping noise, self-inconsistency, explainable metrics, prompt templates, pairwise evaluation, TL;DR summarization, HH-RLHF",Systematic Evaluation of LLM-as-a-Judge in LLM Alignment Tasks: Explainable Metrics and Diverse Prompt Templates,"Wei, H.; He, S.; Xia, T.; Liu, F.; Wong, A.; Lin, J.; Han, M.",Wei,Y,quantitative,"GPT-4o, GPT-4o-mini, GPT-3.5-turbo",1000,N,"Accuracy (Acc_both, Acc_random), position bias score (PB), length bias score (LB), self-consistent rate (SCR), flipping probability (q), stratified sampling; mean and standard deviation across five splits",Negative,"Prompt template choice has a significant impact on LLM judge performance, with the same model exhibiting markedly different accuracy, position bias, and length bias depending on which of up to ten templates is used. All tested LLM judges show only mediocre alignment with human evaluators on both the TL;DR summarization and HH-RLHF-Helpfulness datasets (all accuracies below 0.7), underscoring that human evaluation is still necessary for precise comparison of alignment systems. The paper introduces theoretically interpretable metrics—accuracy, position bias, and length bias with explicit denoising for self-inconsistency—and an open-source evaluation framework to help practitioners select appropriate LLM judges.",Pairwise comparison format: judge is presented with a prompt and two candidate responses (in both orders) and selects the preferred response. Eight prompt templates (for summarization) and ten templates (for helpfulness) sourced from published alignment papers are tested. Temperature set to 0.1; each sample evaluated five times per position to estimate flipping probability.,"How do different prompt templates affect LLM judge reliability (accuracy, position bias, length bias) on alignment tasks? What is the true alignment level between LLM judges and human evaluators on common alignment datasets? How can self-inconsistency (flipping noise) be formally modeled and mitigated in LLM judge evaluation metrics?",persona effects on LLM-As-Judge
A35,2025,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, bias correction, sensitivity, specificity, confidence interval, calibration, statistical reporting, win rate, Chatbot Arena",How to Correctly Report LLM-as-a-Judge Evaluations,"Lee, C.; Zeng, T.; Jeong, J.; Sohn, J.Y.; Lee, K.",Lee,Y,quantitative,"GPT-4.1-mini, Claude-Opus-4.6, Claude-Sonnet-4.6, Claude-Haiku-4.5, GPT-4.1, GPT-4.1-nano, Gemini-3-Flash",,Y - human-preference labels from Chatbot Arena used as ground truth for calibration and validation,"Bias-corrected point estimator (misclassification-adjusted estimator), 95% confidence intervals (adjusted Wald method), delta method for variance, adaptive allocation strategy, Monte Carlo simulation (10,000 replications), sensitivity (q1) and specificity (q0) estimation",Mixed,"The naive practice of reporting the raw fraction of LLM-judged correct responses as the true accuracy is systematically biased due to imperfect LLM judge sensitivity and specificity, and existing bias-correction methods fail under distribution shift between test and calibration datasets. The authors propose a misclassification-adjusted estimator with confidence intervals that remains unbiased under such distributional shifts, and an adaptive calibration allocation strategy that reduces interval length. Empirical validation on Chatbot Arena shows the proposed estimator reduces bias across six target models compared to the naive estimator, and the framework can achieve lower variance than human-only evaluation when judge accuracy is sufficiently high.","Not a prompt design paper; the framework is a statistical plug-in correction layer applied on top of any existing LLM-as-a-judge evaluation. The judge (e.g., GPT-4.1-mini) is used in standard pairwise or binary evaluation mode; a small human-labeled calibration set is used to estimate judge sensitivity and specificity for bias correction.","Why is the standard practice of reporting raw LLM-judged accuracy statistically biased, and how can this bias be corrected? Under what parameter regimes (judge sensitivity/specificity, true accuracy) does bias-corrected LLM-as-a-judge evaluation achieve lower variance than human-only evaluation? How can confidence intervals be constructed that remain valid under distribution shift between test and calibration datasets?",persona effects on LLM-As-Judge
A36,2024,LLM-as-a-Judge evaluation,"cognitive bias, LLM evaluators, CoBBLEr benchmark, order bias, egocentric bias, compassion fade, salience bias, bandwagon effect, attentional bias, Rank-Biased Overlap, pairwise preference",Benchmarking Cognitive Biases in Large Language Models as Evaluators,"Koo, Ryan; Lee, Minhwa; Raheja, Vipul; Park, Jong Inn; Kim, Zae Myung; Kang, Dongyeop",Koo,Y,quantitative,"GPT-4, ChatGPT, InstructGPT, LLaMAv2-70B, LLaMA-65B, Cohere-54B, Falcon-40B, Alpaca-13B, Vicuna-13B, OpenAssistant-12B, Mistral-7B, OLMO-7B, Baize-7B, Koala-7B, WizardLM-7B, MPT-7B",16,Y - 6 Amazon Mechanical Turk workers provided 300 human preference annotations for comparison with model evaluations,"Rank-Biased Overlap (RBO), bias proportion vs. random threshold, chi-square / proportion significance test (Appendix B.5), inter-annotator agreement via RBO",Negative,"The CoBBLEr benchmark evaluates 16 LLMs across six cognitive biases (order, compassion fade, egocentric, salience, bandwagon, and attentional) and finds that approximately 40% of comparisons made by all models exhibit at least one bias, with no model reliably serving as an unbiased evaluator. The average Rank-Biased Overlap (RBO) between LLM evaluation rankings and human preference rankings is only 44%, indicating substantial misalignment between machine and human judgment. Larger models are not systematically less biased, and induced biases (bandwagon, attentional) affect even frontier models severely.","Pairwise evaluation format: evaluator model is prompted with an instruction and two anonymized model responses (System Star vs. System Square) and asked which is better based on coherence and alignment with the instruction. Each pair is evaluated twice with positions swapped. For induced biases, additional information (fake majority statistic, irrelevant distractor sentence) is inserted into the prompt. For compassion fade, real model names replace aliases.",Do LLMs exhibit cognitive biases analogous to human cognitive biases when used as automatic evaluators? How well do LLM evaluations align with human preferences? Can a standardized benchmark (CoBBLEr) measure six distinct implicit and induced biases in LLM-as-a-judge settings?,persona effects on LLM-As-Judge
A37,2024,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, bias quantification, CALM framework, position bias, verbosity bias, self-enhancement bias, compassion-fade, bandwagon, authority bias, sentiment bias, diversity bias, fallacy-oversight, chain-of-thought, refinement-aware, robustness rate",Justice or Prejudice? Quantifying Biases in LLM-as-a-Judge,"Ye, J. and Wang, Y. and Huang, Y. and Chen, D. and Zhang, Q. and Moniz, N. and Zhang, X.",Ye,Y,quantitative,"ChatGPT (GPT-3.5-turbo), GPT-4-Turbo, GPT-4o, GLM-4, Claude-3.5-Sonnet, Qwen2-72B-Instruct",,N,"Robustness Rate (RR), Consistency Rate (CR), original accuracy (Acc_ori), hacked accuracy (Acc_hack), ErrorRate_SE (self-enhancement), ErrorRate_RA (refinement-aware), Z-score normalization for self-enhancement heat map",Negative,"The CALM framework systematically quantifies 12 distinct bias types in LLM-as-a-Judge systems using automated principle-guided perturbation, finding that all six tested advanced LLMs exhibit significant vulnerabilities across multiple bias categories. Claude-3.5 shows the greatest overall resilience to biases while ChatGPT is most susceptible to position and bandwagon effects; no single model is uniformly best across all bias types, indicating that bias profiles are model- and task-specific. The study also finds that biases are more pronounced on alignment datasets than fact-related datasets, and that chain-of-thought prompting generally improves judgment accuracy but to varying degrees across models.","Judgment prompts follow the format P = (I, Q, R) for scoring tasks or P = (I, Q, R1, R2) for pairwise comparison, based on templates from Zheng et al. (2024) and Liu et al. (2023a) with slight modifications. Biases are injected via automated perturbation — an LLM (GPT-4o) modifies either the response R or instruction I according to bias-specific guidelines (e.g., lengthening responses for verbosity bias, inserting fake citations for authority bias, adding identity markers to system prompt for diversity bias). Temperature set to 0.7.",What are the 12 distinct types of bias that can undermine the reliability of LLM-as-a-Judge systems? Can biases be quantified automatically without human evaluation? How do different advanced LLMs compare in their robustness to these biases across scoring and pairwise comparison tasks?,persona effects on LLM-As-Judge
A38,2024,LLM-as-a-Judge evaluation,"LLM-as-a-Judge, judge alignment, TriviaQA, exam-taker models, Scott's pi, percent agreement, leniency bias, prompt sensitivity, false positives, false negatives, precision, recall",Judging the Judges: Evaluating Alignment and Vulnerabilities in LLMs-as-Judges,"Thakur, A. S. and Choudhary, K. and Ramayapally, V. S. and Vaidyanathan, S. and Hupkes, D.",Thakur,Y,quantitative,"GPT-4 Turbo, Llama-2-7B, Llama-2-13B, Llama-2-70B, Llama-3-8B, Llama-3-70B, Llama-3.1-8B, Llama-3.1-70B, Gemma-2B, Mistral-7B, JudgeLM-7B",9,"Y - 3 human judges annotated 1,200 randomly sampled TriviaQA responses; inter-human alignment = 96.2% Scott's pi","Scott's pi coefficient, percent agreement, Spearman rank correlation, precision, recall, leniency bias estimation (P_c and P_+), bootstrapping for sample size validation",Mixed,"In a controlled TriviaQA evaluation setting with near-perfect human agreement, only the largest judge models (GPT-4 Turbo, Llama-3-70B, Llama-3.1-70B) achieve strong alignment with humans as measured by Scott's pi, yet even these best judges still differ from human scores by up to 5 points and exhibit leniency bias. Percent agreement is found to be a misleading metric because models with high percent agreement can still assign very different scores, while Scott's pi better discriminates judge quality. Smaller models are more prone to false positives, more sensitive to prompt complexity, and more easily fooled by dummy answers such as 'Yes' or 'Sure', highlighting that caution is warranted even when alignment appears high.","Judge models receive a prompt containing the TriviaQA question, a list of acceptable reference answers, and the exam-taker model's response, and are instructed to respond with a single word: 'correct' or 'incorrect'. Four prompt variants of varying length and specificity (45 to 301 tokens) are tested, ranging from minimal instructions to detailed guidelines with examples. Few-shot examples drawn from TriviaQA training set. Judge prompts built from human annotation guidelines (Appendix G).","How well do LLM judge models align with human evaluators in a clean, high-agreement evaluation setting? Does percent agreement adequately capture judge quality, or is a more robust metric (Scott's pi) needed? What are the systematic vulnerabilities of LLM judges, including sensitivity to prompt design, leniency bias, and susceptibility to dummy answers?",persona effects on LLM-As-Judge
A39,2024,LLM-as-a-Judge evaluation,"position bias, LLM-as-a-Judge, MT-Bench, DevBench, repetition stability, position consistency, preference fairness, evaluation metrics, pairwise evaluation",Judging the Judges: A Systematic Study of Position Bias in LLM-as-a-Judge,"Shi, L. and Ma, C. and Liang, W. and Diao, X. and Ma, W. and Vosoughi, S.",Shi,Y,quantitative,"GPT-4, GPT-3.5-turbo, Claude-2, Claude-instant-1, Gemini-Pro, LLaMA-2-70B-chat, LLaMA-2-13B-chat, LLaMA-2-7B-chat, Vicuna-33B, Vicuna-13B, Vicuna-7B, WizardLM-70B, WizardLM-13B, Mistral-7B-Instruct, Qwen-7B-chat",150000,N,"- Repetition Stability (RS): proportion of consistent verdicts when same pair is presented twice
- Position Consistency (PC): proportion of consistent verdicts when positions are swapped
- Preference Fairness (PF): balance of first-position vs second-position preferences
- Win rate calculations across judge-model pairs
- Consistency and bias rate aggregations across >150,000 instances",Negative,"This systematic study examines position bias across 15 LLM judges evaluated on MT-Bench and DevBench using over 150,000 evaluation instances. The authors introduce three novel metrics—Repetition Stability (RS), Position Consistency (PC), and Preference Fairness (PF)—to quantify different facets of position bias. Results show that most LLMs exhibit significant position bias, with a general tendency to favor responses placed in the first position. GPT-4 demonstrates the least position bias while smaller open-source models show the most. The study reveals that position bias is pervasive across model families and scales, undermining the reliability of LLM-as-a-Judge frameworks without explicit debiasing.",Pairwise comparison prompt presents two candidate responses (Response A and Response B) to a given instruction; asks the judge to determine which response is better; position of responses is systematically swapped to measure consistency; both single-round and multi-round conversation evaluation settings tested; prompts follow MT-Bench evaluation protocol.,"How prevalent is position bias across different LLM judges at varying scales and families? Can novel metrics (RS, PC, PF) reliably quantify position bias? What factors (model size, family, training method) correlate with reduced position bias?",persona effects on LLM-As-Judge
